#energy #coulombic #rd #polar #kinetic #temp #N #spin_ratio #volume
-129968.646241 -8065.616088 -94710.258669 -27192.771484 0.000000 0.000000 156.000000 0.000000 11324.989599
-129985.525590 -8071.777289 -94676.597910 -27237.150391 0.000000 0.000000 156.000000 0.000000 11324.989599
-130042.064766 -7976.944491 -94759.354649 -27305.765625 0.000000 0.000000 156.000000 0.000000 11324.989599
-129943.940672 -7955.860141 -94777.639125 -27210.441406 0.000000 0.000000 156.000000 0.000000 11324.989599
-129838.198178 -7719.376362 -94764.491737 -27354.330078 0.000000 0.000000 156.000000 0.000000 11324.989599
-129873.078886 -7787.945160 -94831.897398 -27253.236328 0.000000 0.000000 156.000000 0.000000 11324.989599
-129730.835125 -7796.827329 -94886.517561 -27047.490234 0.000000 0.000000 156.000000 0.000000 11324.989599
-129561.925212 -7784.404646 -94801.493222 -26976.027344 0.000000 0.000000 156.000000 0.000000 11324.989599
-129758.874222 -7974.314773 -94829.155153 -26955.404297 0.000000 0.000000 156.000000 0.000000 11324.989599
-129768.459378 -8144.185638 -94791.937803 -26832.335938 0.000000 0.000000 156.000000 0.000000 11324.989599
-129796.838225 -8239.654299 -94793.258145 -26763.925781 0.000000 0.000000 156.000000 0.000000 11324.989599
-129795.762539 -8223.565640 -94695.726196 -26876.470703 0.000000 0.000000 156.000000 0.000000 11324.989599
-129756.836309 -8245.946466 -94584.649609 -26926.240234 0.000000 0.000000 156.000000 0.000000 11324.989599
-130101.651668 -8469.503772 -94670.200631 -26961.947266 0.000000 0.000000 156.000000 0.000000 11324.989599
-130173.331627 -8554.919720 -94758.107220 -26860.304688 0.000000 0.000000 156.000000 0.000000 11324.989599
-130492.330961 -8855.696533 -94833.894193 -26802.740234 0.000000 0.000000 156.000000 0.000000 11324.989599
-130315.359674 -8782.094604 -94936.692804 -26596.572266 0.000000 0.000000 156.000000 0.000000 11324.989599
-130085.655199 -8793.625875 -94880.437527 -26411.591797 0.000000 0.000000 156.000000 0.000000 11324.989599
-129980.596129 -8786.359373 -94826.725038 -26367.511719 0.000000 0.000000 156.000000 0.000000 11324.989599
-130121.797318 -8951.775211 -94823.813122 -26346.208984 0.000000 0.000000 156.000000 0.000000 11324.989599
-130170.418000 -9032.274824 -94686.443958 -26451.699219 0.000000 0.000000 156.000000 0.000000 11324.989599
-129999.367321 -9128.233308 -94617.370341 -26253.763672 0.000000 0.000000 156.000000 0.000000 11324.989599
-130322.455342 -9274.599751 -94654.455201 -26393.400391 0.000000 0.000000 156.000000 0.000000 11324.989599
-130180.599274 -8994.547670 -94696.264494 -26489.787109 0.000000 0.000000 156.000000 0.000000 11324.989599
-129916.997194 -9111.082869 -94542.959247 -26262.955078 0.000000 0.000000 156.000000 0.000000 11324.989599
-130055.667136 -9073.790635 -94600.151891 -26381.724609 0.000000 0.000000 156.000000 0.000000 11324.989599
-129822.101703 -9110.537828 -94557.532625 -26154.031250 0.000000 0.000000 156.000000 0.000000 11324.989599
-129661.901047 -9230.746107 -94469.592440 -25961.562500 0.000000 0.000000 156.000000 0.000000 11324.989599
-129764.486959 -9215.409618 -94522.940623 -26026.136719 0.000000 0.000000 156.000000 0.000000 11324.989599
-129952.000458 -9215.135620 -94575.892181 -26160.972656 0.000000 0.000000 156.000000 0.000000 11324.989599
-129957.340069 -9128.413091 -94759.735572 -26069.191406 0.000000 0.000000 156.000000 0.000000 11324.989599
-130035.871133 -9276.406980 -94584.280559 -26175.183594 0.000000 0.000000 156.000000 0.000000 11324.989599
-129883.898149 -9174.308133 -94604.925954 -26104.664062 0.000000 0.000000 156.000000 0.000000 11324.989599
-129611.153631 -8906.620452 -94627.597632 -26076.935547 0.000000 0.000000 156.000000 0.000000 11324.989599
-129326.377418 -8608.913453 -94616.180762 -26101.283203 0.000000 0.000000 156.000000 0.000000 11324.989599
-129369.622826 -8649.095616 -94532.716664 -26187.810547 0.000000 0.000000 156.000000 0.000000 11324.989599
-129302.243641 -8397.609244 -94653.515257 -26251.119141 0.000000 0.000000 156.000000 0.000000 11324.989599
-129439.286491 -8377.065962 -94694.603341 -26367.617188 0.000000 0.000000 156.000000 0.000000 11324.989599
-129231.239629 -8239.081386 -94770.466837 -26221.691406 0.000000 0.000000 156.000000 0.000000 11324.989599
-129200.666978 -8164.487725 -94863.993706 -26172.185547 0.000000 0.000000 156.000000 0.000000 11324.989599
-129264.417787 -8043.752073 -94923.140323 -26297.525391 0.000000 0.000000 156.000000 0.000000 11324.989599
-129332.963843 -8141.778554 -94870.249742 -26320.935547 0.000000 0.000000 156.000000 0.000000 11324.989599
-129697.457858 -8582.764534 -94766.769496 -26347.923828 0.000000 0.000000 156.000000 0.000000 11324.989599
-129399.304574 -8339.234965 -94651.059844 -26409.009766 0.000000 0.000000 156.000000 0.000000 11324.989599
-129172.708784 -8357.554888 -94673.515224 -26141.638672 0.000000 0.000000 156.000000 0.000000 11324.989599
-129071.076306 -8411.903159 -94573.343068 -26085.830078 0.000000 0.000000 156.000000 0.000000 11324.989599
-128971.556820 -8418.349080 -94503.873756 -26049.333984 0.000000 0.000000 156.000000 0.000000 11324.989599
-129004.035401 -8275.432896 -94594.411098 -26134.191406 0.000000 0.000000 156.000000 0.000000 11324.989599
-128765.586072 -8168.872936 -94515.597902 -26081.115234 0.000000 0.000000 156.000000 0.000000 11324.989599
-128789.862461 -8080.535448 -94570.018420 -26139.308594 0.000000 0.000000 156.000000 0.000000 11324.989599
-128787.362723 -8070.908124 -94487.144052 -26229.310547 0.000000 0.000000 156.000000 0.000000 11324.989599
-128625.344415 -7960.154177 -94445.045707 -26220.144531 0.000000 0.000000 156.000000 0.000000 11324.989599
